id,name,slug,start_date,active
20,Lageberichte des Ausw채rtiges Amts,lageberichte-auswaertiges-amt,2022-11-10T08:00:00+01:00,False
17,Lobbyregister selbst gemacht,lobbyregister-selbstgemacht,2021-06-07T08:00:00+02:00,False
16,Aktion Ehrensache,aktion-ehrensache,2021-03-16T09:56:00+01:00,False
15,Verschlusssache Pr체fung,verschlusssache-prufung,2021-01-26T12:00:00+01:00,True
14,Mission Fleisch,topf-secret-mission-fleisch,2020-12-08T01:00:00+01:00,False
12,Black Box EU,blackboxeu,2020-11-15T13:17:00+01:00,False
13,Klima-Geb채ude-Check,klimacheck,2020-09-25T14:53:00+02:00,False
11,Spekulation abwenden,spekulation-abwenden,2020-07-14T09:30:00+02:00,False
10,Prinzenfonds,prinzenfonds,2020-06-18T10:00:00+02:00,False
9,Glyphosat,glyphosat,2019-04-02T10:00:00+02:00,False
5,Frag sie Abi!,frag-sie-abi,2019-02-11T12:00:00+01:00,False
4,Topf Secret,topf-secret,2019-01-14T12:00:00+01:00,True
3,Gl채serne Gesetze,glaserne-gesetze,2017-06-15T12:00:00+02:00,False
2,Frag das Jobcenter,frag-das-jobcenter,2016-10-20T12:00:00+02:00,False
1,Frag den Bundestag,frag-den-bundestag,2016-01-25T12:00:00+01:00,False
